from	to	what	count	class	examples	in_ledger
storage-tx	storage-tablet	src/storage/tx_storage/ob_memstore_freezer.h	3	upward-named	src/storage/allocator/ob_shared_memory_allocator_mgr.h:26 -> src/storage/tx_storage/ob_memstore_freezer.h: (include); src/storage/memtable/ob_memtable.cpp:30 -> src/storage/tx_storage/ob_memstore_freezer.h: (include); src/storage/tablelock/ob_lock_table.cpp:24 -> src/storage/tx_storage/ob_memstore_freezer.h: (include)	no
storage-tx	storage-tablet	src/storage/tx_storage/ob_tx_leak_checker.h	1	upward-named	src/storage/tx/ob_trans_service.h:41 -> src/storage/tx_storage/ob_tx_leak_checker.h: (include)	no
storage-tx	storage-engine	src/storage/compaction/ob_schedule_dag_func.h	4	upward-named	src/storage/memtable/ob_memtable.cpp:26 -> src/storage/compaction/ob_schedule_dag_func.h: (include); src/storage/tablelock/ob_lock_memtable.cpp:25 -> src/storage/compaction/ob_schedule_dag_func.h: (include); src/storage/tx_table/ob_tx_ctx_memtable.cpp:19 -> src/storage/compaction/ob_schedule_dag_func.h: (include)	no
storage-tx	storage-engine	src/storage/ddl/ob_ddl_clog.h	1	upward-named	src/storage/tx/ob_tx_log.h:21 -> src/storage/ddl/ob_ddl_clog.h: (include)	no
storage-tx	storage-engine	src/storage/ddl/ob_tablet_ddl_kv.h	2	upward-named	src/storage/memtable/ob_memtable.cpp:32 -> src/storage/ddl/ob_tablet_ddl_kv.h: (include); src/storage/memtable/ob_row_conflict_handler.cpp:21 -> src/storage/ddl/ob_tablet_ddl_kv.h: (include)	no
storage-tx	storage-search	src/data_plane/api/data_plane/vector/ob_i_vector_memory.h	1	upward-named	src/storage/allocator/ob_vector_allocator.h:19 -> src/data_plane/api/data_plane/vector/ob_i_vector_memory.h: (include)	no
storage-tx	sql-session	src/query/api/query/session/ob_deadlock_session.h	3	upward-named	src/storage/memtable/ob_lock_wait_mgr.h:32 -> src/query/api/query/session/ob_deadlock_session.h: (include); src/storage/tablelock/ob_table_lock_live_detector.cpp:23 -> src/query/api/query/session/ob_deadlock_session.h: (include); src/storage/tx/ob_trans_deadlock_adapter.h:22 -> src/query/api/query/session/ob_deadlock_session.h: (include)	no
storage-tx	sql-exec	src/query/api/query/ob_i_active_snapshot_service.h	1	upward-named	src/storage/concurrency_control/ob_multi_version_garbage_collector.cpp:18 -> src/query/api/query/ob_i_active_snapshot_service.h: (include)	no
storage-tx	sql	src/query/api/query/ob_sql_define.h	1	upward-named	src/storage/tx/ob_trans_define.h:33 -> src/query/api/query/ob_sql_define.h: (include)	no
storage-tx	sql	src/query/api/query/tablelock/ob_table_lock_runtime.h	1	upward-named	src/storage/tablelock/ob_table_lock_live_detector.cpp:24 -> src/query/api/query/tablelock/ob_table_lock_runtime.h: (include)	no
storage-tx	pl	src/query/api/query/optimizer/stat/ob_optimizer_stat_service.h	1	upward-unnamed	src/storage/memtable/ob_memtable.cpp:20 -> src/query/api/query/optimizer/stat/ob_optimizer_stat_service.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_basic_tablet_merge_ctx.h	1	upward-named	src/storage/tablet/ob_tablet_create_sstable_param.cpp:21 -> src/storage/compaction/ob_basic_tablet_merge_ctx.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_compaction_util.h	6	upward-named	src/storage/ob_storage_struct.h:29 -> src/storage/compaction/ob_compaction_util.h: (include); src/storage/tablet/ob_tablet_create_sstable_param.h:27 -> src/storage/compaction/ob_compaction_util.h: (include); src/storage/tablet/ob_tablet_full_medium_info.h:22 -> src/storage/compaction/ob_compaction_util.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_extra_medium_info.h	3	upward-named	src/storage/tablet/ob_tablet_full_medium_info.h:23 -> src/storage/compaction/ob_extra_medium_info.h: (include); src/storage/tablet/ob_tablet_mds_data.h:25 -> src/storage/compaction/ob_extra_medium_info.h: (include); src/storage/tablet/ob_tablet_persister.h:21 -> src/storage/compaction/ob_extra_medium_info.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_i_compaction_filter.h	1	upward-named	src/storage/multi_data_source/ob_mds_minor_compaction_filter.h:20 -> src/storage/compaction/ob_i_compaction_filter.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_mds_filter_info.h	1	upward-named	src/storage/truncate_info/ob_mds_info_distinct_mgr.cpp:19 -> src/storage/compaction/ob_mds_filter_info.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_medium_compaction_func.h	1	upward-named	src/storage/truncate_info/ob_truncate_partition_filter.cpp:21 -> src/storage/compaction/ob_medium_compaction_func.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_medium_compaction_info.h	3	upward-named	src/storage/multi_data_source/compile_utility/mds_register.h:33 -> src/storage/compaction/ob_medium_compaction_info.h: (include); src/storage/tablet/ob_mds_scan_param_helper.cpp:22 -> src/storage/compaction/ob_medium_compaction_info.h: (include); src/storage/tablet/ob_tablet_dumped_medium_info.h:23 -> src/storage/compaction/ob_medium_compaction_info.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_medium_compaction_mgr.h	4	upward-named	src/storage/ob_storage_struct.h:30 -> src/storage/compaction/ob_medium_compaction_mgr.h: (include); src/storage/tablet/ob_tablet.h:26 -> src/storage/compaction/ob_medium_compaction_mgr.h: (include); src/storage/tablet/ob_tablet_memtable_mgr.h:25 -> src/storage/compaction/ob_medium_compaction_mgr.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_medium_list_checker.h	1	upward-named	src/storage/tablet/ob_tablet.cpp:37 -> src/storage/compaction/ob_medium_list_checker.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_partition_merge_policy.h	1	upward-named	src/storage/ob_tablet_stat_mgr.cpp:24 -> src/storage/compaction/ob_partition_merge_policy.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_schedule_dag_func.h	5	upward-named	src/storage/ls/ob_ls_ddl_log_handler.cpp:20 -> src/storage/compaction/ob_schedule_dag_func.h: (include); src/storage/multi_data_source/mds_table_base.cpp:19 -> src/storage/compaction/ob_schedule_dag_func.h: (include); src/storage/tablet/ob_tablet_ddl_complete_mds_helper.cpp:28 -> src/storage/compaction/ob_schedule_dag_func.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_tablet_merge_ctx.h	4	upward-named	src/storage/ls/ob_ls.cpp:24 -> src/storage/compaction/ob_tablet_merge_ctx.h: (include); src/storage/multi_data_source/ob_tablet_mds_merge_ctx.h:20 -> src/storage/compaction/ob_tablet_merge_ctx.h: (include); src/storage/ob_partition_range_spliter.cpp:18 -> src/storage/compaction/ob_tablet_merge_ctx.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_tablet_merge_task.h	2	upward-named	src/storage/multi_data_source/ob_mds_table_merge_dag.h:22 -> src/storage/compaction/ob_tablet_merge_task.h: (include); src/storage/multi_data_source/ob_mds_table_merge_dag_param.h:21 -> src/storage/compaction/ob_tablet_merge_task.h: (include)	no
storage-tablet	storage-engine	src/storage/compaction/ob_tablet_scheduler.h	7	upward-named	src/storage/access/ob_multiple_merge.cpp:25 -> src/storage/compaction/ob_tablet_scheduler.h: (include); src/storage/ls/ob_freezer.cpp:23 -> src/storage/compaction/ob_tablet_scheduler.h: (include); src/storage/ls/ob_ls.cpp:23 -> src/storage/compaction/ob_tablet_scheduler.h: (include)	no
storage-tablet	storage-engine	src/storage/ddl/ob_ddl_clog.h	1	upward-named	src/storage/ob_sync_tablet_seq_clog.h:24 -> src/storage/ddl/ob_ddl_clog.h: (include)	no
storage-tablet	storage-engine	src/storage/ddl/ob_ddl_direct_load_utils.h	3	upward-named	src/storage/ls/ob_ls_ddl_log_handler.cpp:24 -> src/storage/ddl/ob_ddl_direct_load_utils.h: (include); src/storage/tablet/ob_tablet_ddl_complete_mds_helper.cpp:33 -> src/storage/ddl/ob_ddl_direct_load_utils.h: (include); src/storage/tablet/ob_tablet_ddl_complete_replay_executor.cpp:26 -> src/storage/ddl/ob_ddl_direct_load_utils.h: (include)	no
storage-tablet	storage-engine	src/storage/ddl/ob_ddl_merge_schedule.h	1	upward-named	src/storage/ls/ob_ls_ddl_log_handler.cpp:25 -> src/storage/ddl/ob_ddl_merge_schedule.h: (include)	no
storage-tablet	storage-engine	src/storage/ddl/ob_ddl_merge_task.h	1	upward-named	src/storage/tablet/ob_tablet_table_store.cpp:25 -> src/storage/ddl/ob_ddl_merge_task.h: (include)	no
storage-tablet	storage-engine	src/storage/ddl/ob_ddl_redo_log_replayer.h	1	upward-named	src/storage/ls/ob_ls_ddl_log_handler.h:21 -> src/storage/ddl/ob_ddl_redo_log_replayer.h: (include)	no
storage-tablet	storage-engine	src/storage/ddl/ob_ddl_replay_executor.h	1	upward-named	src/storage/ls/ob_ls_ddl_log_handler.cpp:22 -> src/storage/ddl/ob_ddl_replay_executor.h: (include)	no
storage-tablet	storage-engine	src/storage/ddl/ob_ddl_storage_util.h	1	upward-named	src/storage/tablet/ob_tablet_ddl_complete_mds_helper.cpp:34 -> src/storage/ddl/ob_ddl_storage_util.h: (include)	no
storage-tablet	storage-engine	src/storage/ddl/ob_ddl_struct.h	4	upward-named	src/storage/ob_storage_struct.h:31 -> src/storage/ddl/ob_ddl_struct.h: (include); src/storage/tablet/ob_tablet_create_sstable_param.h:26 -> src/storage/ddl/ob_ddl_struct.h: (include); src/storage/tablet/ob_tablet_ddl_complete_mds_data.h:26 -> src/storage/ddl/ob_ddl_struct.h: (include)	no
storage-tablet	storage-engine	src/storage/ddl/ob_direct_load_struct.h	5	upward-named	src/storage/tablet/ob_tablet_create_sstable_param.cpp:22 -> src/storage/ddl/ob_direct_load_struct.h: (include); src/storage/tablet/ob_tablet_ddl_complete_mds_data.cpp:22 -> src/storage/ddl/ob_direct_load_struct.h: (include); src/storage/tablet/ob_tablet_ddl_complete_mds_helper.cpp:27 -> src/storage/ddl/ob_direct_load_struct.h: (include)	no
storage-tablet	storage-engine	src/storage/ddl/ob_tablet_barrier_log.h	1	upward-named	src/storage/tablet/ob_tablet_meta.h:34 -> src/storage/ddl/ob_tablet_barrier_log.h: (include)	no
storage-tablet	storage-engine	src/storage/ddl/ob_tablet_ddl_kv.h	9	upward-named	src/storage/access/ob_sample_iter_helper.cpp:18 -> src/storage/ddl/ob_tablet_ddl_kv.h: (include); src/storage/ls/ob_freezer.cpp:24 -> src/storage/ddl/ob_tablet_ddl_kv.h: (include); src/storage/ls/ob_ls_tablet_service.cpp:42 -> src/storage/ddl/ob_tablet_ddl_kv.h: (include)	no
storage-tablet	storage-engine	src/storage/ddl/ob_tablet_ddl_kv_mgr.h	2	upward-named	src/storage/meta_mem/ob_storage_meta_mem_mgr.h:31 -> src/storage/ddl/ob_tablet_ddl_kv_mgr.h: (include); src/storage/tablet/ob_tablet_ddl_complete_replay_executor.cpp:24 -> src/storage/ddl/ob_tablet_ddl_kv_mgr.h: (include)	no
storage-tablet	storage-search	src/data_plane/api/data_plane/fts/ob_doc_id.h	2	upward-named	src/data_plane/api/data_plane/access/ob_dml_table_plan.h:25 -> src/data_plane/api/data_plane/fts/ob_doc_id.h: (include); src/storage/ob_table_dml_param.cpp:22 -> src/data_plane/api/data_plane/fts/ob_doc_id.h: (include)	no
storage-tablet	storage-search	src/data_plane/api/data_plane/retrieval/ob_sparse_retrieval.h	1	upward-named	src/storage/retrieval/ob_sparse_vector_block_source.cpp:20 -> src/data_plane/api/data_plane/retrieval/ob_sparse_retrieval.h: (include)	no
storage-tablet	storage-search	src/data_plane/api/data_plane/vector/ob_vector_index_schema.h	1	upward-named	src/storage/ob_table_dml_param.cpp:23 -> src/data_plane/api/data_plane/vector/ob_vector_index_schema.h: (include)	no
storage-tablet	storage-search	src/query/api/query/vector/ob_vector_index_util.h	1	upward-named	src/storage/ls/ob_ls_tablet_service.cpp:44 -> src/query/api/query/vector/ob_vector_index_util.h: (include)	no
storage-tablet	storage-search	src/storage/api/storage/runtime/ob_i_server_runtime.h	8	upward-named	src/storage/meta_store/ob_local_storage_meta_service.cpp:22 -> src/storage/api/storage/runtime/ob_i_server_runtime.h: (include); src/storage/meta_store/ob_server_storage_meta_replayer.cpp:20 -> src/storage/api/storage/runtime/ob_i_server_runtime.h: (include); src/storage/meta_store/ob_server_storage_meta_service.cpp:22 -> src/storage/api/storage/runtime/ob_i_server_runtime.h: (include)	no
storage-tablet	storage-search	src/storage/api/storage/vector/ob_i_vector_index_runtime.h	1	upward-named	src/storage/ls/ob_ls_tablet_service.cpp:46 -> src/storage/api/storage/vector/ob_i_vector_index_runtime.h: (include)	no
storage-tablet	storage-search	src/storage/retrieval/ob_block_max_iter.h	1	upward-named	src/storage/retrieval/ob_sparse_vector_block_source.cpp:21 -> src/storage/retrieval/ob_block_max_iter.h: (include)	no
storage-tablet	storage-search	src/storage/retrieval/ob_block_stat_iter.h	2	upward-named	src/storage/ls/ob_ls_tablet_service.cpp:36 -> src/storage/retrieval/ob_block_stat_iter.h: (include); src/storage/tx_storage/ob_access_service.cpp:30 -> src/storage/retrieval/ob_block_stat_iter.h: (include)	no
storage-tablet	sql-parse-tree	src/query/api/query/parser/parse_node.h	1	upward-named	src/storage/ob_order_perserving_encoder.cpp:34 -> src/query/api/query/parser/parse_node.h: (include)	no
storage-tablet	sql-session	src/query/api/query/session/ob_session_access.h	1	upward-named	src/storage/ob_iter_cache.cpp:21 -> src/query/api/query/session/ob_session_access.h: (include)	no
storage-tablet	sql-ir	src/query/api/query/resolver/ob_raw_expr_traits.h	1	upward-unnamed	src/storage/access/ob_table_param.cpp:20 -> src/query/api/query/resolver/ob_raw_expr_traits.h: (include)	no
storage-tablet	sql-exec	src/query/api/query/engine/aggregate/ob_aggregate_util.h	1	upward-named	src/storage/access/ob_pushdown_aggregate.cpp:22 -> src/query/api/query/engine/aggregate/ob_aggregate_util.h: (include)	no
storage-tablet	sql-exec	src/query/api/query/engine/expr/ob_arithmetic_overflow.h	1	upward-named	src/storage/access/ob_pushdown_aggregate.h:22 -> src/query/api/query/engine/expr/ob_arithmetic_overflow.h: (include)	no
storage-tablet	sql-exec	src/query/api/query/engine/expr/ob_expr.h	4	upward-named	src/storage/access/ob_aggregated_store.h:20 -> src/query/api/query/engine/expr/ob_expr.h: (include); src/storage/access/ob_pushdown_aggregate.h:21 -> src/query/api/query/engine/expr/ob_expr.h: (include); src/storage/access/ob_vector_store.h:22 -> src/query/api/query/engine/expr/ob_expr.h: (include)	no
storage-tablet	sql-expr	src/query/api/query/engine/expr/ob_array_expr_utils.h	2	upward-named	src/storage/access/ob_pushdown_aggregate.cpp:24 -> src/query/api/query/engine/expr/ob_array_expr_utils.h: (include); src/storage/ob_storage_util.cpp:18 -> src/query/api/query/engine/expr/ob_array_expr_utils.h: (include)	no
storage-tablet	sql-expr	src/query/api/query/engine/expr/ob_decimal_int_scale.h	1	upward-named	src/storage/access/ob_pushdown_aggregate.cpp:23 -> src/query/api/query/engine/expr/ob_decimal_int_scale.h: (include)	no
storage-tablet	sql-expr	src/query/api/query/engine/expr/ob_expr_lob_utils.h	1	upward-named	src/storage/access/ob_multiple_merge.cpp:22 -> src/query/api/query/engine/expr/ob_expr_lob_utils.h: (include)	no
storage-tablet	sql-expr	src/query/api/query/engine/expr/ob_expr_util.h	1	upward-named	src/storage/lob/ob_lob_manager.cpp:32 -> src/query/api/query/engine/expr/ob_expr_util.h: (include)	no
storage-tablet	observer	src/data_plane/api/data_plane/report/ob_tablet_report.h	1	upward-named	src/storage/ls/ob_ls_tablet_service.cpp:43 -> src/data_plane/api/data_plane/report/ob_tablet_report.h: (include)	no
storage-tablet	observer	src/data_plane/api/data_plane/vector/ob_i_vector_index_runtime.h	1	upward-named	src/storage/ls/ob_ls.h:47 -> src/data_plane/api/data_plane/vector/ob_i_vector_index_runtime.h: (include)	no
storage-tablet	observer	src/query/api/query/session/ob_inner_sql_connection_access.h	3	upward-named	src/storage/tablet/ob_tablet_binding_helper.cpp:20 -> src/query/api/query/session/ob_inner_sql_connection_access.h: (include); src/storage/tablet/ob_tablet_ddl_complete_mds_helper.cpp:22 -> src/query/api/query/session/ob_inner_sql_connection_access.h: (include); src/storage/tablet/ob_tablet_fork_mds_helper.cpp:21 -> src/query/api/query/session/ob_inner_sql_connection_access.h: (include)	no
storage-tablet	observer	src/share/ob_ex_rpc.h	3	upward-named	src/storage/ls/ob_freezer.cpp:19 -> src/share/ob_ex_rpc.h: (include); src/storage/tablet/ob_tablet_binding_helper.cpp:21 -> src/share/ob_ex_rpc.h: (include); src/storage/tx_storage/ob_memstore_freezer.cpp:26 -> src/share/ob_ex_rpc.h: (include)	no
storage-tablet	x-dropped	src/oblib/easy/util/easy_time.h	1	uses-dropped	src/storage/multi_data_source/ob_mds_event_buffer.h:27 -> src/oblib/easy/util/easy_time.h: (include)	no
storage-engine	storage-search	src/query/api/query/vector/ob_vector_index_util.h	3	upward-named	src/storage/ddl/ob_ddl_struct.cpp:20 -> src/query/api/query/vector/ob_vector_index_util.h: (include); src/storage/ddl/ob_direct_load_struct.cpp:35 -> src/query/api/query/vector/ob_vector_index_util.h: (include); src/storage/ddl/ob_vector_index_ddl_pipeline.h:23 -> src/query/api/query/vector/ob_vector_index_util.h: (include)	no
storage-engine	storage-search	src/storage/api/storage/runtime/ob_i_server_runtime.h	1	upward-named	src/storage/ddl/ob_tablet_ddl_kv.cpp:21 -> src/storage/api/storage/runtime/ob_i_server_runtime.h: (include)	no
storage-engine	storage-search	src/storage/api/storage/vector/ob_i_vector_index_runtime.h	3	upward-named	src/storage/ddl/ob_ddl_pipeline.cpp:20 -> src/storage/api/storage/vector/ob_i_vector_index_runtime.h: (include); src/storage/ddl/ob_direct_load_struct.cpp:37 -> src/storage/api/storage/vector/ob_i_vector_index_runtime.h: (include); src/storage/ddl/ob_hnsw_embedmgr.cpp:24 -> src/storage/api/storage/vector/ob_i_vector_index_runtime.h: (include)	no
storage-engine	storage-search	src/storage/vector_index/ob_vector_kmeans_ctx.h	2	upward-named	src/storage/ddl/ob_direct_load_struct.cpp:36 -> src/storage/vector_index/ob_vector_kmeans_ctx.h: (include); src/storage/ddl/ob_vector_index_ddl_pipeline.h:24 -> src/storage/vector_index/ob_vector_kmeans_ctx.h: (include)	no
storage-engine	sql-exec	src/query/api/query/ai/ob_ai_endpoint_resolver.h	1	upward-named	src/storage/ddl/ob_hnsw_embedmgr.cpp:21 -> src/query/api/query/ai/ob_ai_endpoint_resolver.h: (include)	no
storage-engine	sql-exec	src/query/api/query/engine/basic/ob_spill_batch_spool.h	2	upward-named	src/storage/ddl/ob_ddl_row_tmp_file.h:22 -> src/query/api/query/engine/basic/ob_spill_batch_spool.h: (include); src/storage/ddl/ob_direct_insert.cpp:21 -> src/query/api/query/engine/basic/ob_spill_batch_spool.h: (include)	no
storage-engine	sql-exec	src/query/api/query/engine/ob_batch_rows.h	2	upward-named	src/storage/ddl/ob_ddl_vector_utils.h:22 -> src/query/api/query/engine/ob_batch_rows.h: (include); src/storage/ddl/ob_tablet_slice_writer.cpp:27 -> src/sql/engine/ob_batch_rows.h: (include)	no
storage-engine	sql-expr	src/query/api/query/engine/expr/ob_ai_model_resolver.h	1	upward-named	src/storage/ddl/ob_hnsw_embedmgr.cpp:22 -> src/query/api/query/engine/expr/ob_ai_model_resolver.h: (include)	no
storage-engine	sql-expr	src/query/api/query/engine/expr/ob_array_expr_utils.h	2	upward-named	src/storage/ddl/ob_ddl_pipeline.cpp:28 -> src/query/api/query/engine/expr/ob_array_expr_utils.h: (include); src/storage/ddl/ob_direct_load_struct.cpp:38 -> src/query/api/query/engine/expr/ob_array_expr_utils.h: (include)	no
storage-engine	sql-expr	src/query/api/query/engine/expr/ob_expr_lob_utils.h	2	upward-named	src/storage/ddl/ob_ddl_pipeline.cpp:27 -> src/query/api/query/engine/expr/ob_expr_lob_utils.h: (include); src/storage/ddl/ob_hnsw_embedmgr.cpp:23 -> src/query/api/query/engine/expr/ob_expr_lob_utils.h: (include)	no
storage-engine	sql-das	src/query/api/query/vector/ob_vector_embedding_handler.h	2	upward-named	src/storage/ddl/ob_hnsw_embedmgr.h:24 -> src/query/api/query/vector/ob_vector_embedding_handler.h: (include); src/storage/ddl/ob_vector_index_ddl_pipeline.h:25 -> src/query/api/query/vector/ob_vector_embedding_handler.h: (include)	no
storage-engine	rootserver	src/data_plane/api/data_plane/ddl/ob_ddl_coordinator.h	4	upward-named	src/storage/ddl/ob_build_index_task.cpp:18 -> src/data_plane/api/data_plane/ddl/ob_ddl_coordinator.h: (include); src/storage/ddl/ob_complement_data_task.cpp:21 -> src/data_plane/api/data_plane/ddl/ob_ddl_coordinator.h: (include); src/storage/ddl/ob_ddl_heart_beat_task.cpp:19 -> src/data_plane/api/data_plane/ddl/ob_ddl_coordinator.h: (include)	no
storage-engine	rootserver	src/data_plane/api/data_plane/ddl/ob_ddl_schedule.h	1	upward-named	src/storage/ddl/ob_ddl_insert_dag.cpp:17 -> src/data_plane/api/data_plane/ddl/ob_ddl_schedule.h: (include)	no
storage-engine	rootserver	src/rootserver/ddl_task/ob_ddl_task.h	1	upward-named	src/storage/ddl/ob_ddl_insert_dag.cpp:22 -> src/rootserver/ddl_task/ob_ddl_task.h: (include)	no
storage-engine	observer	src/data_plane/api/data_plane/report/ob_tablet_report.h	7	upward-named	src/storage/compaction/ob_basic_tablet_merge_ctx.cpp:26 -> src/data_plane/api/data_plane/report/ob_tablet_report.h: (include); src/storage/compaction/ob_compaction_diagnose.cpp:21 -> src/data_plane/api/data_plane/report/ob_tablet_report.h: (include); src/storage/compaction/ob_schedule_status_cache.cpp:18 -> src/data_plane/api/data_plane/report/ob_tablet_report.h: (include)	no
storage-engine	observer	src/data_plane/api/data_plane/vector/ob_i_vector_index_runtime.h	1	upward-named	src/storage/ddl/ob_direct_load_struct.cpp:20 -> src/data_plane/api/data_plane/vector/ob_i_vector_index_runtime.h: (include)	no
storage-search	sql-exec	src/query/api/query/engine/basic/ob_spill_row_store.h	1	upward-named	src/storage/retrieval/ob_sparse_taat_iter.h:20 -> src/query/api/query/engine/basic/ob_spill_row_store.h: (include)	no
storage-search	sql-exec	src/query/api/query/engine/expr/ob_expr.h	2	upward-named	src/storage/retrieval/ob_spiv_dim_iter.h:21 -> src/query/api/query/engine/expr/ob_expr.h: (include); src/storage/retrieval/ob_text_retrieval_token_iter.h:21 -> src/query/api/query/engine/expr/ob_expr.h: (include)	no
storage-search	sql-exec	src/sql/engine/ob_exec_context.h	1	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:27 -> src/sql/engine/ob_exec_context.h: (include)	no
storage-search	sql-expr	src/query/api/query/engine/expr/ob_array_expr_utils.h	1	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:25 -> src/sql/engine/expr/ob_array_expr_utils.h: (include)	no
storage-search	sql-expr	src/query/api/query/engine/expr/ob_expr_bm25.h	4	upward-named	src/storage/retrieval/ob_block_max_iter.h:21 -> src/query/api/query/engine/expr/ob_expr_bm25.h: (include); src/storage/retrieval/ob_block_stat_collector.cpp:19 -> src/query/api/query/engine/expr/ob_expr_bm25.h: (include); src/storage/retrieval/ob_inv_idx_param_estimator.cpp:19 -> src/query/api/query/engine/expr/ob_expr_bm25.h: (include)	no
storage-search	sql-expr	src/query/api/query/engine/expr/ob_expr_operator.h	1	upward-named	src/query/api/query/vector/ob_vector_index_util.h:26 -> src/query/api/query/engine/expr/ob_expr_operator.h: (include)	no
storage-search	sql-expr	src/query/api/query/engine/expr/ob_expr_util.h	1	upward-named	src/storage/retrieval/ob_inv_idx_param_estimator.cpp:20 -> src/query/api/query/engine/expr/ob_expr_util.h: (include)	no
storage-search	sql-expr	src/sql/engine/expr/ob_expr_ai/ob_ai_func_utils.h	1	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:41 -> src/sql/engine/expr/ob_expr_ai/ob_ai_func_utils.h: (include)	no
storage-search	sql-expr	src/sql/engine/expr/ob_expr_vector.h	1	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:26 -> src/sql/engine/expr/ob_expr_vector.h: (include)	no
storage-search	sql-das	src/query/api/query/das/ob_block_max_spec_access.h	1	upward-named	src/storage/retrieval/ob_block_max_iter.cpp:19 -> src/query/api/query/das/ob_block_max_spec_access.h: (include)	no
storage-search	sql-das	src/query/api/query/das/ob_das_id_protocol.h	2	upward-named	src/storage/retrieval/ob_block_max_iter.h:20 -> src/query/api/query/das/ob_das_id_protocol.h: (include); src/storage/retrieval/ob_i_sparse_retrieval_iter.h:21 -> src/query/api/query/das/ob_das_id_protocol.h: (include)	no
storage-search	sql-das	src/query/api/query/das/ob_das_iter_access.h	3	upward-named	src/storage/retrieval/ob_inv_idx_param_estimator.cpp:21 -> src/query/api/query/das/ob_das_iter_access.h: (include); src/storage/retrieval/ob_spiv_dim_iter.cpp:19 -> src/query/api/query/das/ob_das_iter_access.h: (include); src/storage/retrieval/ob_text_retrieval_token_iter.cpp:20 -> src/query/api/query/das/ob_das_iter_access.h: (include)	no
storage-search	sql-das	src/query/api/query/das/ob_fts_eval_node_access.h	1	upward-named	src/storage/retrieval/ob_sparse_utils.cpp:19 -> src/query/api/query/das/ob_fts_eval_node_access.h: (include)	no
storage-search	sql-das	src/query/api/query/vector/ob_vector_embedding_handler.h	1	upward-named	src/storage/api/storage/vector/ob_i_vector_index_runtime.h:21 -> src/query/api/query/vector/ob_vector_embedding_handler.h: (include)	no
storage-search	sql-das	src/query/api/query/vector/ob_vector_index_service.h	1	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:33 -> src/query/api/query/vector/ob_vector_index_service.h: (include)	no
storage-search	sql-resolver	src/sql/resolver/ddl/ob_fts_index_builder_util.h	1	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:29 -> src/sql/resolver/ddl/ob_fts_index_builder_util.h: (include)	no
storage-search	sql-resolver	src/sql/resolver/ddl/ob_vec_index_builder_util.h	1	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:28 -> src/sql/resolver/ddl/ob_vec_index_builder_util.h: (include)	no
storage-search	sql	src/query/api/query/ob_sql_define.h	2	upward-named	src/storage/retrieval/ob_text_daat_iter.h:20 -> src/query/api/query/ob_sql_define.h: (include); src/storage/retrieval/ob_text_taat_iter.h:20 -> src/query/api/query/ob_sql_define.h: (include)	no
storage-search	rootserver	src/rootserver/ob_ddl_operator.h	1	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:30 -> src/rootserver/ob_ddl_operator.h: (include)	no
storage-search	rootserver	src/rootserver/ob_ddl_service.h	1	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:31 -> src/rootserver/ob_ddl_service.h: (include)	no
storage-search	observer	src/observer/vector_index/ob_plugin_vector_index_service.h	1	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:35 -> src/observer/vector_index/ob_plugin_vector_index_service.h: (include)	no
storage-search	observer	src/observer/vector_index/ob_plugin_vector_index_utils.h	1	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:34 -> src/observer/vector_index/ob_plugin_vector_index_utils.h: (include)	no
storage-search	observer	src/observer/vector_index/ob_vector_index_sched_job_utils.h	1	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:24 -> src/observer/vector_index/ob_vector_index_sched_job_utils.h: (include)	no
storage-search	observer	src/query/api/query/vector/ob_vector_index_adaptor.h	2	upward-named	src/observer/vector_index/ob_vector_index_util.cpp:36 -> src/query/api/query/vector/ob_vector_index_adaptor.h: (include); src/storage/api/storage/vector/ob_i_vector_index_runtime.h:20 -> src/query/api/query/vector/ob_vector_index_adaptor.h: (include)	no
